Table 1: List of Projects Studied in Transition Cycle #1 / Phase I
Project ID,Project Name / POI,State[2],Status,Transmission Owner[3],Maxiumum Facility Output (MFO in MW),MW Energy (MWE),MW Capacity (MWC),Project Type,Resource Type
AG1-384,Twitty's Creek 115 kV,Virginia,Active,Virginia Electric and Power Company,20.0,20.0,15.42,Generation Interconnection,Solar; Storage
AG1-389,Gold 115 kV IV,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,120.0,20.0,12.0,Generation Interconnection,Solar
AG1-390,Gold 115 kV III,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,100.0,20.0,12.0,Generation Interconnection,Solar
AG1-391,Gold 115 kV II,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,80.0,40.0,24.0,Generation Interconnection,Solar
AG1-392,Gold 115 kV I,Pennsylvania,Active,Mid-Atlantic Interstate Transmission LLC,40.0,40.0,24.0,Generation Interconnection,Solar
AG1-393,Fort Pickett DP 34.5 kV,Virginia,Active,Virginia Electric and Power Company,20.0,20.0,12.0,Generation Interconnection,Solar
AG1-394,Boykins 34.5 kV,Virginia,Active,Virginia Electric and Power Company,20.0,20.0,12.0,Generation Interconnection,Solar
AG1-399,Blue Mound-Chestnut 345 kV,Illinois,Active,Commonwealth Edison Company,300.0,300.0,52.8,Generation Interconnection,Wind
AG1-400,Blue Mound-Chestnut 345 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,150.0,Generation Interconnection,Storage
AG1-402,Blue Mound-Chestnut 345 kV,Illinois,Active,Commonwealth Edison Company,150.0,150.0,150.0,Generation Interconnection,Storage
AG1-404,Blue Mound-Chestnut 345 kV,Illinois,Active,Commonwealth Edison Company,100.0,100.0,100.0,Generation Interconnection,Storage
AG1-410,Maddox Creek-RP Mone 345 kV,Ohio,Active,American Electric Power,300.0,300.0,180.0,Generation Interconnection,Solar
AG1-411,Maddox Creek-RP Mone 345 kV,Ohio,Active,American Electric Power,100.0,100.0,100.0,Generation Interconnection,Storage
AG1-412,Ladysmith CT-Mine Road 230 kV,Virginia,Active,Virginia Electric and Power Company,200.0,200.0,80.0,Generation Interconnection,Storage
AG1-421,Lexington-Dooms 230 kV,Virginia,Active,Virginia Electric and Power Company,200.0,200.0,120.0,Generation Interconnection,Solar
AG1-422,Lexington-Dooms 230 kV,Virginia,Active,Virginia Electric and Power Company,50.0,50.0,50.0,Generation Interconnection,Storage
AG1-423,Byron-Wayne 345 kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,120.0,Generation Interconnection,Solar
AG1-424,Sowers 138 kV,Indiana,Active,American Electric Power,100.0,100.0,60.0,Generation Interconnection,Solar
AG1-425,Groton 138 kV,Ohio,Active,American Transmission Systems Incorporated,125.0,0.0,20.0,Generation Interconnection,Storage
AG1-426,Bremo-Scottsville 138 kV,Virginia,Active,American Electric Power,149.5,0.0,17.0,Generation Interconnection,Storage
AG1-427,Chase City-Drakes Branch 115 kV,Virginia,Active,Virginia Electric and Power Company,118.56,118.56,71.136,Generation Interconnection,Solar
AG1-428,Danieltown DP–Brunswick 69 kV,Virginia,Active,Virginia Electric and Power Company,46.8,46.8,28.08,Generation Interconnection,Solar
AG1-432,Curdsville DP-Willis Mt. 115 kV,Virginia,Active,Virginia Electric and Power Company,200.0,200.0,120.0,Generation Interconnection,Solar
AG1-433,Keystone - DeSoto 345 kV,Indiana,Active,American Electric Power,300.0,100.0,17.6,Generation Interconnection,Wind
AG1-434,Electric Junction-Nelson 345 kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,35.2,Generation Interconnection,Wind
AG1-435,Kewanee-Hennepin 138 kV,Illinois,Active,Commonwealth Edison Company,200.0,200.0,35.2,Generation Interconnection,Wind
AG1-436,Olive-University Park 345 kV,Indiana,Active,American Electric Power,250.0,125.0,75.0,Generation Interconnection,Solar
AG1-437,Cashie-Earleys 230 kV,North Carolina,Active,Virginia Electric and Power Company,100.0,100.0,60.0,Generation Interconnection,Solar
AG1-438,Cashie-Earleys 230 kV,North Carolina,Active,Virginia Electric and Power Company,100.0,100.0,60.0,Generation Interconnection,Solar
AG1-439,Chinquapin 230 kV,North Carolina,Active,Virginia Electric and Power Company,250.0,250.0,150.0,Generation Interconnection,Solar
AG1-440,Palmer Springs 115 kV,Virginia,Active,Virginia Electric and Power Company,75.0,75.0,45.0,Generation Interconnection,Solar
AG1-441,Palmer Springs 115 kV,Virginia,Active,Virginia Electric and Power Company,75.0,75.0,45.0,Generation Interconnection,Solar
AG1-442,Cashie-Earleys 230 kV,North Carolina,Active,Virginia Electric and Power Company,135.0,35.0,35.0,Generation Interconnection,Storage
AG1-443,Cashie-Earleys 230 kV,North Carolina,Active,Virginia Electric and Power Company,135.0,35.0,35.0,Generation Interconnection,Storage
AG1-444,Chinquapin 230 kV,North Carolina,Active,Virginia Electric and Power Company,330.0,80.0,80.0,Generation Interconnection,Storage
AG1-445,Palmer Springs 115 kV,Virginia,Active,Virginia Electric and Power Company,101.0,26.0,26.0,Generation Interconnection,Storage
AG1-446,Palmer Springs 115 kV,Virginia,Active,Virginia Electric and Power Company,101.0,26.0,26.0,Generation Interconnection,Storage
